(pytorchenv) C:\Users\Forschung\Desktop\Codes\vorplanml\Classifiers>python Classifier_all_TL_M.py
Training on device: cpu
CNN(
  (encoder): Encoder(
    (conv1): Conv3d(1, 8, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (conv2): Conv3d(8, 16, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (conv3): Conv3d(16, 32, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (conv4): Conv3d(32, 64, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (activation): LeakyReLU(negative_slope=0.01)
  )
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=1728, out_features=128, bias=True)
  (relu): LeakyReLU(negative_slope=0.01)
  (fc2): Linear(in_features=128, out_features=64, bias=True)
  (fc3): Linear(in_features=64, out_features=32, bias=True)
  (fc4): Linear(in_features=32, out_features=16, bias=True)
  (fc5): Linear(in_features=16, out_features=6, bias=True)
  (sig): Sigmoid()
)
Datenverteilung: (5782 / 1003 / 18)
Training 1:
Epoch 1/50, Training Loss: 0.484122, Training Accuracy: 77.561241%, Validation Loss: 0.429432, Validation Accuracy: 78.059896%
Epoch 149/150, Training Loss: 0.144118, Training Accuracy: 93.386561%, Validation Loss: 0.430714, Validation Accuracy: 86.442057%
Epoch 150/150, Training Loss: 0.147510, Training Accuracy: 93.283539%, Validation Loss: 0.424474, Validation Accuracy: 87.060547%
ID: ('1200680_80', '1210333_470', '1160312_30', '1190786_10', '1200035_10', '1212888_20', '1171759_20', '1212403_10', '1181652_30', '1212206_500', '1210659_690', '1193076_120', '1203326_50', '1211374_10', '1161921_40', '1200670_50', '1152386_20', '1171470_20')
Vorhersage: tensor([[1., 0., 0., 0., 0., 0.],
        [0., 0., 1., 1., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 1., 1., 1., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 0., 0., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 0., 0., 0., 0.],
        [0., 0., 1., 0., 0., 0.],
        [0., 0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 1., 0., 1., 1., 1.],
        [1., 0., 1., 1., 0., 0.],
        [0., 0., 1., 0., 0., 0.]])
Label: tensor([[1., 0., 0., 0., 0., 0.],
        [0., 0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 1., 1., 1., 0., 0.],
        [1., 0., 0., 0., 0., 0.],
        [1., 0., 0., 0., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 0., 0., 0., 0., 0.],
        [0., 0., 1., 1., 0., 0.],
        [0., 0., 1., 1., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 0., 0., 0., 0.],
        [1., 0., 0., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0., 0.],
        [0., 0., 1., 0., 0., 0.]], dtype=torch.float64)
